131	4557	10
107	3515	3
124	7412	0
123	7839	10
14	4787	6
2879	7716	23
12	3750	5
14	5272	24
22687	9287	9
17280	443	15
101	3104	12
8298	9433	17
194	1073	0
1086	6697	8
105	5002	4
108	9520	13
146	7690	2
225	205	13
2748	924	0
13059	2684	5
175	9525	18
112	3862	2
754	8285	9
11168	6527	32
124	4871	34
3626	7293	2
105	5637	16
101	299	3
771	4729	6
1438	5065	14
400	8269	4
101	5550	9
121	4608	25
101	6465	14
128	4159	28
289	7847	9
102	9606	18
24270	8152	3
109	869	49
136	1272	7
427	6161	1
974	7874	16
217	3812	11
418	2245	13
62	362	0
163	1500	3
102	1609	11
135	6307	41
121	6054	11
162	1404	0
15447	5597	17
301	572	1
103	622	3
115	8142	7
204	4376	2
127	2357	1
584	8862	1
4581	1061	10
2932	8436	2
273	5786	3
258	8055	1
105	6148	17
14367	5800	12
105	5390	10
108	4691	24
1628	915	23
5753	9000	21
163	7739	2
163	6645	0
174	6549	18
2466	9735	3
154	3039	17
107	5503	10
8520	1242	6
15814	7485	13
137	8316	16
21710	5700	11
2271	5928	10
103	8835	6
112	6873	4
168	4194	5
6265	7962	0
132	1739	11
8	4645	20
897	5758	0
586	3895	5
197	9006	7
190	8990	14
107	2653	19
126	9398	25
20781	8144	18
20565	4024	7
1002	9569	11
5828	7442	12
142	885	2
2155	4163	3
2299	8547	13
107	8122	7
22137	538	19
102	8934	20
102	8174	8
23542	8655	7
114	1408	14
102	2476	2
138	2899	20
167	5155	5
25372	1125	3
195	4386	47
13485	7439	20
827	2491	23
101	6639	10
974	171	17
1805	766	16
101	5376	13
101	1164	5
104	5190	8
265	2363	12
672	9832	1
5812	8919	3
101	4105	15
112	8573	4
101	7398	8
110	6580	22
23901	9849	21
115	7722	15
144	9186	0
5112	653	8
2121	7395	7
112	4479	3
2063	8830	19
207	7509	8
111	3126	16
18259	5393	0
132	3785	6
2187	108	18
229	8184	28
516	3167	8
322	9900	6
505	9920	11
140	737	41
404	5877	3
214	1322	3
109	8998	48
367	1317	4
124	7508	0
135	465	11
6666	6781	10
17601	3812	20
104	7947	23
11140	7346	12
8549	6602	6
1158	2753	8
289	4746	16
176	6384	3
159	50	16
105	6383	9
14	222	24
214	9643	28
1887	29	9
827	4318	10
400	7715	12
21402	9805	7
24672	6595	3
110	6494	26
15357	8928	9
